2021-11-26T21:15:28.760Z [AUDIT] Token created by 'anonymous': tokenId='5bf44071-9b87-43bc-826c-637fda302932', issuer='jfrou@01fnf1mq411yc9j17848m67sgg', subject='jfrou@01fnf1mq411yc9j17848m67sgg', expiry=none, refreshable=false
2021-11-26T22:27:48.621Z [AUDIT] Token created by 'anonymous': tokenId='4ddb5ab2-c447-4098-bc30-a01f552534e6', issuer='jfrou@01fnf1mq411yc9j17848m67sgg', subject='jfrou@01fnf1mq411yc9j17848m67sgg', expiry=none, refreshable=false
2021-11-26T22:27:48.695Z [AUDIT] Token revoked by 'anonymous': tokenId='5bf44071-9b87-43bc-826c-637fda302932', issuer='jfrou@01fnf1mq411yc9j17848m67sgg', subject='jfrou@01fnf1mq411yc9j17848m67sgg', expiry=none, refreshable=false
2021-11-26T22:27:50.554Z [AUDIT] Token created by 'anonymous': tokenId='03b99e71-d171-4aa7-989a-0bab10b93502', issuer='jfac@01fnf1mjebk08f123fqpr71am0', subject='jfac@01fnf1mjebk08f123fqpr71am0', expiry=1637965790546, refreshable=false
2021-11-26T22:27:50.735Z [AUDIT] Token created by 'anonymous': tokenId='a9f57ddd-87ac-4924-a7cd-1d77494f1d26', issuer='jfac@01fnf1mjebk08f123fqpr71am0', subject='jfac@01fnf1mjebk08f123fqpr71am0', expiry=1637965790702, refreshable=false
2021-11-26T22:27:50.950Z [AUDIT] Token created by 'anonymous': tokenId='2085c0d6-72f3-49e8-9b00-b38802461fb7', issuer='jfac@01fnf1mjebk08f123fqpr71am0', subject='jfac@01fnf1mjebk08f123fqpr71am0', expiry=1637965790949, refreshable=false
2021-11-26T22:27:51.173Z [AUDIT] Token created by 'anonymous': tokenId='22ee0191-c15a-45ee-9d18-1c1ef3f953a2', issuer='jfob@01fnf1mjebk08f123fqpr71am0', subject='jfob@01fnf1mjebk08f123fqpr71am0', expiry=none, refreshable=false
2021-11-26T22:27:51.180Z [AUDIT] Token revoked by 'anonymous': tokenId='2f220fd3-1062-4d75-8b8b-8e216ae2e9f4', issuer='jfob@01fnf1mjebk08f123fqpr71am0', subject='jfob@01fnf1mjebk08f123fqpr71am0', expiry=none, refreshable=false
2021-11-26T22:27:51.247Z [AUDIT] Token created by 'anonymous': tokenId='a3a2e270-eaa1-4d9f-8831-64edce22d8a1', issuer='jfmd@01fnf1mr0k2p6w6cz6e6fy2qpt', subject='jfmd@01fnf1mr0k2p6w6cz6e6fy2qpt', expiry=none, refreshable=false
2021-11-26T22:27:51.252Z [AUDIT] Token revoked by 'anonymous': tokenId='b5ee8dcd-863b-4d67-88d6-d6df9d61394f', issuer='jfmd@01fnf1mr0k2p6w6cz6e6fy2qpt', subject='jfmd@01fnf1mr0k2p6w6cz6e6fy2qpt', expiry=none, refreshable=false
2021-11-26T22:27:51.361Z [AUDIT] Token created by 'anonymous': tokenId='cfffa592-f7f1-430c-a050-f3cabd12612c', issuer='jfac@01fnf1mjebk08f123fqpr71am0', subject='jfac@01fnf1mjebk08f123fqpr71am0', expiry=1637965791359, refreshable=false
2021-11-26T22:27:51.694Z [AUDIT] Token created by 'anonymous': tokenId='2fbf8ae3-f023-4efb-aa99-977cbdb650ad', issuer='jfrt@01fnf1mwvggrgx1ytp54rh032v', subject='jfrt@01fnf1mwvggrgx1ytp54rh032v', expiry=none, refreshable=false
2021-11-26T22:27:51.699Z [AUDIT] Token revoked by 'anonymous': tokenId='94e63c87-a117-42ac-8d12-e184c1e670ab', issuer='jfrt@01fnf1mwvggrgx1ytp54rh032v', subject='jfrt@01fnf1mwvggrgx1ytp54rh032v', expiry=none, refreshable=false
2021-11-26T22:27:52.777Z [AUDIT] Token created by 'jfrt@01fnf1mwvggrgx1ytp54rh032v': tokenId='9ea4a8a4-f563-4699-9913-c1839d5f7d03', issuer='jfrt@01fnf1mwvggrgx1ytp54rh032v', subject='jfrt@01fnf1mwvggrgx1ytp54rh032v', expiry=2584045672776, refreshable=false
2021-11-26T22:27:56.305Z [AUDIT] Token created by 'anonymous': tokenId='694dda3a-ee57-4118-abb7-a319d5b411cb', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2021-11-26T22:27:56.309Z [AUDIT] Token revoked by 'anonymous': tokenId='5851d290-3dfb-4268-90d7-b053be39bcc8', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2021-11-26T22:27:56.347Z [AUDIT] Token created by 'jffe@000': tokenId='5f1762b5-6fb7-4c04-84c8-17c01fcf5c95', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637966276347, refreshable=false
2021-11-26T22:28:23.194Z [AUDIT] Token created by 'jffe@000': tokenId='213187f1-2c9a-459b-9aa7-3f29adbbd8f3', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1637966303193, refreshable=false
2021-11-26T22:28:23.194Z [AUDIT] Token created by 'jffe@000': tokenId='f593cc8f-a206-41b8-b0db-75d731c881a0', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1637966303194, refreshable=false
2021-11-26T22:28:39.699Z [AUDIT] Token created by 'jffe@000': tokenId='103f9c5a-4de1-4706-b308-1b33b118449d', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1637967519698, refreshable=true
2021-11-26T22:28:39.793Z [AUDIT] Token created by 'jffe@000': tokenId='571cbcaf-12d7-4843-a386-268f4bf7aa1b', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1637966319793, refreshable=false
2021-11-26T22:28:39.795Z [AUDIT] Token created by 'jffe@000': tokenId='0287cdd3-d136-4161-a0d8-bbfb21ac091e', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1637966319795, refreshable=false
2021-11-26T22:28:40.274Z [AUDIT] Token created by 'jffe@000': tokenId='e968c87d-80a8-467b-a957-81d11ca5fd49', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1637966320273, refreshable=false
2021-11-26T22:32:36.107Z [AUDIT] Token created by 'jffe@000': tokenId='a0d82821-8e6e-4462-80eb-c661b8054b99', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1637966556107, refreshable=false
2021-11-26T22:37:01.632Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='103f9c5a-4de1-4706-b308-1b33b118449d', tokenId='43ac6ea4-c473-42cd-ab72-1c531bfe1ddc', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1637968021629, refreshable=true
2021-11-26T22:37:58.621Z [AUDIT] Token created by 'jffe@000': tokenId='40b8c244-f2ed-4c7a-bec1-99c4bb079f61', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637966878621, refreshable=false
2021-11-26T22:37:58.621Z [AUDIT] Token created by 'jffe@000': tokenId='17ddd4c6-fd06-4c02-9873-ee0ac5172a68', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637966878621, refreshable=false
2021-11-26T22:37:58.622Z [AUDIT] Token created by 'jffe@000': tokenId='caea3c9d-be82-4fff-8115-37f2a455a9a8', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637966878622, refreshable=false
2021-11-26T22:37:58.623Z [AUDIT] Token created by 'jffe@000': tokenId='48320099-6d5a-4185-925f-c7f19cba02b7', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637966878623, refreshable=false
2021-11-26T22:37:58.626Z [AUDIT] Token created by 'jffe@000': tokenId='5708f299-7644-40fa-a84e-e75ad17497c0', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637966878626, refreshable=false
2021-11-26T22:39:01.592Z [AUDIT] Token created by 'jffe@000': tokenId='5f33727e-2da7-412c-9a27-83a519183f31', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1637966941592, refreshable=false
2021-11-26T22:44:06.254Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='43ac6ea4-c473-42cd-ab72-1c531bfe1ddc', tokenId='d54aad8e-967f-4475-a7bc-95b044701f43', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1637968446251, refreshable=true
2021-11-26T22:45:14.921Z [AUDIT] Token created by 'jffe@000': tokenId='d77a5980-aff1-40f7-9960-a57ff598c09d', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1637967314920, refreshable=false
2021-11-26T22:45:14.922Z [AUDIT] Token created by 'jffe@000': tokenId='9b33a38a-3278-47c6-a048-76a2efcceae8', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1637967314922, refreshable=false
2021-11-26T22:45:14.927Z [AUDIT] Token created by 'jffe@000': tokenId='92bacfd8-caaa-4f9e-99d0-8e56ce841686', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1637967314927, refreshable=false
2021-11-26T22:45:14.933Z [AUDIT] Token created by 'jffe@000': tokenId='e385a5f3-db26-40e0-a554-5a50089d674a', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1637967314933, refreshable=false
2021-11-26T22:47:58.655Z [AUDIT] Token created by 'jffe@000': tokenId='1c9a869d-33cd-45ff-865f-1448ecb2a558', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637967478655, refreshable=false
2021-11-26T22:47:58.656Z [AUDIT] Token created by 'jffe@000': tokenId='ef457f09-3611-4c21-85a6-c125729cc3f2', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637967478656, refreshable=false
2021-11-26T22:47:58.657Z [AUDIT] Token created by 'jffe@000': tokenId='6ed6b635-a8be-4df8-8631-83a17fb4523c', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637967478657, refreshable=false
2021-11-26T22:47:58.661Z [AUDIT] Token created by 'jffe@000': tokenId='6097ad45-fad0-4294-a189-217a89dffe0e', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637967478661, refreshable=false
2021-11-26T22:47:58.663Z [AUDIT] Token created by 'jffe@000': tokenId='6444435c-7505-4dda-895b-5a7baa011c07', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637967478663, refreshable=false
2021-11-26T22:49:17.230Z [AUDIT] Token created by 'jffe@000': tokenId='0e1bdf1c-359b-4627-bf79-c926a5b6d253', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1637968757229, refreshable=true
2021-11-26T22:49:17.339Z [AUDIT] Token created by 'jffe@000': tokenId='61029b9f-8e17-4325-bafe-0b108e641d64', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1637967557339, refreshable=false
2021-11-26T22:49:17.340Z [AUDIT] Token created by 'jffe@000': tokenId='2c6ebc9e-ae31-4193-97b9-a996bec8f43b', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1637967557340, refreshable=false
2021-11-26T22:56:22.616Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='0e1bdf1c-359b-4627-bf79-c926a5b6d253', tokenId='c75bd5a7-5b7b-4740-adb8-e71e7485d596', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1637969182615, refreshable=true
2021-11-26T22:57:58.695Z [AUDIT] Token created by 'jffe@000': tokenId='bdc392b4-006f-4b2b-ac85-c155658df0a8', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637968078695, refreshable=false
2021-11-26T22:57:58.695Z [AUDIT] Token created by 'jffe@000': tokenId='19ad03e4-119b-4f91-8497-4bc6c4ec76d1', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637968078695, refreshable=false
2021-11-26T22:57:58.699Z [AUDIT] Token created by 'jffe@000': tokenId='939de265-fa7d-4eb7-b8c4-b97be3ef5281', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637968078699, refreshable=false
2021-11-26T22:57:58.700Z [AUDIT] Token created by 'jffe@000': tokenId='2133d2bf-2b50-4d9a-921f-1314393f47a9', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637968078699, refreshable=false
2021-11-26T22:57:58.701Z [AUDIT] Token created by 'jffe@000': tokenId='313a690e-6c63-4f46-b896-b3ef2eb5d2ce', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637968078700, refreshable=false
2021-11-26T22:59:39.847Z [AUDIT] Token created by 'jffe@000': tokenId='8ff76a9e-c6c9-468e-a93c-86be4aa6c2f9', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1637968179847, refreshable=false
2021-11-26T23:00:00.452Z [AUDIT] Token created by 'anonymous': tokenId='1dcc64f2-470b-43a9-ab08-e36a8693e7a3', issuer='jfac@01fnf1mjebk08f123fqpr71am0', subject='jfac@01fnf1mjebk08f123fqpr71am0', expiry=1637967620452, refreshable=false
2021-11-26T23:07:58.749Z [AUDIT] Token created by 'jffe@000': tokenId='9948c001-a2b5-4466-8005-9e4072fcfd87', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637968678749, refreshable=false
2021-11-26T23:07:58.749Z [AUDIT] Token created by 'jffe@000': tokenId='600cfb02-8a8a-4e7c-9d45-48fc2531025c', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637968678749, refreshable=false
2021-11-26T23:07:58.753Z [AUDIT] Token created by 'jffe@000': tokenId='c964505d-b635-499e-af1f-f95d45d3f61a', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637968678753, refreshable=false
2021-11-26T23:07:58.753Z [AUDIT] Token created by 'jffe@000': tokenId='6f0a403a-3f38-4c1f-aea6-6b866f26df38', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637968678751, refreshable=false
2021-11-26T23:07:58.751Z [AUDIT] Token created by 'jffe@000': tokenId='bea44f74-eaad-49cd-b686-f5b87bff49b7', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637968678751, refreshable=false
2021-11-26T23:10:11.421Z [AUDIT] Token created by 'jffe@000': tokenId='34761770-676d-4af9-bd4a-9c8a0c280fdf', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1637968811421, refreshable=false
2021-11-26T23:17:58.799Z [AUDIT] Token created by 'jffe@000': tokenId='bb823f5d-1d8e-46f2-821b-b66d19a14e6f', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637969278799, refreshable=false
2021-11-26T23:17:58.800Z [AUDIT] Token created by 'jffe@000': tokenId='656112f9-146d-44b3-8b25-a391c7d75282', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637969278800, refreshable=false
2021-11-26T23:17:58.802Z [AUDIT] Token created by 'jffe@000': tokenId='5f0633ff-36a4-4e49-ada5-c7155ebed8c1', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637969278802, refreshable=false
2021-11-26T23:17:58.802Z [AUDIT] Token created by 'jffe@000': tokenId='9cfe34e0-eba4-473c-ad20-0eeac6e49e1f', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637969278802, refreshable=false
2021-11-26T23:17:58.802Z [AUDIT] Token created by 'jffe@000': tokenId='2dc06aed-3ec6-4d9f-83c4-7eb3f9296451', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637969278802, refreshable=false
2021-11-26T23:21:07.829Z [AUDIT] Token created by 'jffe@000': tokenId='c3052db1-bfa7-43e1-92cb-56f8cbda14c3', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1637969467829, refreshable=false
2021-11-26T23:27:58.890Z [AUDIT] Token created by 'jffe@000': tokenId='7974f162-baf8-414e-be3e-fe01b92766d2', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637969878890, refreshable=false
2021-11-26T23:27:58.890Z [AUDIT] Token created by 'jffe@000': tokenId='eb8f4b85-b6f8-4103-a4cd-d02619f5d4b6', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637969878890, refreshable=false
2021-11-26T23:27:58.890Z [AUDIT] Token created by 'jffe@000': tokenId='1793cf4c-ff64-4b35-aac1-2b980fe5002f', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637969878890, refreshable=false
2021-11-26T23:27:58.892Z [AUDIT] Token created by 'jffe@000': tokenId='f6f5e099-6f7f-4a05-b31f-abb6e00d1db2', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637969878891, refreshable=false
2021-11-26T23:27:58.894Z [AUDIT] Token created by 'jffe@000': tokenId='fae71e06-3563-4308-82da-0afb22efee1a', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637969878894, refreshable=false
2021-11-26T23:28:05.689Z [AUDIT] Token created by 'jffe@000': tokenId='7bc83358-dc88-421d-9434-e4188720080d', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1637969885688, refreshable=false
2021-11-26T23:28:05.690Z [AUDIT] Token created by 'jffe@000': tokenId='58442287-29d9-4e76-ab3c-933237b2e7c6', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1637969885690, refreshable=false
2021-11-26T23:28:05.693Z [AUDIT] Token created by 'jffe@000': tokenId='3c25d3d1-2cf9-4166-a088-dfc5cec19720', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1637969885693, refreshable=false
2021-11-26T23:28:05.693Z [AUDIT] Token created by 'jffe@000': tokenId='453bad18-0920-4544-8560-6464ab205572', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1637969885693, refreshable=false
